id,BHS27,BHS29,BHS33,BHS36,BHS40,BHS42,BHS53,BHS58,BIS1,BIS12,BIS2,BIS56,BIS59,BIS72,BIS9,ELK16,ELK17,ELK24,ELK48,ELK49,ELK54,ELK75,BLA20220921.D,BLA20220921.E,NEG20220928.ban,NEG20220928.sa,POS20220928.ban,POS20220928.sa
P121,0,0,0,0,0,0,0,0,0,110,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
P122,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P123,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P124,31,4,0,27,0,0,0,16,0,0,0,1,11,27,0,0,0,0,29,0,13,0,0,0,0,0,0,0
P125,0,0,0,0,30,13,0,0,0,0,0,0,77,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P126,6,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
P127,21,5,0,0,0,0,2,8,23,0,0,0,0,7,0,11,69,0,0,0,0,0,0,0,0,0,0,0
P128,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
P129,0,7,1,0,21,0,0,0,0,4,0,0,0,0,0,1,0,0,34,72,0,0,0,0,0,0,0,0
P130,0,0,0,7,0,81,0,0,0,0,0,11,25,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
P131,0,0,0,0,0,0,0,0,67,0,14,0,0,0,0,0,13,23,0,15,0,0,0,0,0,0,0,0
P132,77,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
P133,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,82,0,39,3,0,0,0,0,0,0
P134,2,5,25,6,0,2,6,11,3,3,0,0,0,3,9,1,2,4,13,12,18,1,0,0,0,0,0,0
P135,0,0,0,0,11,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
P136,0,0,0,0,25,10,0,0,0,0,0,0,0,39,0,0,0,0,0,0,46,0,0,0,0,0,0,0
P137,0,0,0,0,0,0,0,0,0,0,0,43,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P138,7,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
P139,0,0,0,0,11,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
P140,4,0,4,40,0,1,4,1,0,0,5,4,3,38,2,0,1,0,3,1,1,0,0,0,0,0,0,0
P141,0,0,0,0,0,1,0,0,0,0,0,12,3,66,0,0,0,0,5,0,10,13,0,0,0,0,0,0
P142,0,0,1,0,2,17,0,1,0,0,0,33,42,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0
P143,0,0,0,0,12,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
P145,4,2,4,18,3,0,2,0,2,5,19,9,4,10,6,0,0,0,1,8,0,0,0,0,0,0,0,0
P146,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45,0,3,0,0,44,0,1,0,0,0,0,0,0
P147,0,18,27,0,0,0,0,0,0,0,0,0,0,17,26,0,0,5,0,0,0,0,0,0,0,0,0,0
P148,8,0,0,3,3,27,30,0,0,0,0,11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P149,0,0,0,0,0,0,0,0,0,0,0,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P150,43,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0
P151,16,0,2,6,0,1,5,0,14,0,0,11,0,9,0,0,4,0,6,8,2,0,0,0,0,0,0,0
P152,42,0,0,11,0,0,0,2,0,0,0,4,14,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0
P153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,0,0,4,0,0,0,0,0,0,0,0,0
P154,0,0,4,0,0,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P155,0,0,0,37,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P156,0,0,3,0,0,0,59,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
